GENESIS-Tabelle: 12421-0001
Vorausberechneter Bevölkerungsstand: Deutschland, Stichtag,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Varianten der Bevölkerungsvorausberechnung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsvorausberechnungen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vorausberechneter Bevölkerungsstand (1000);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag
;;31.12.2019;31.12.2020;31.12.2021;31.12.2022;31.12.2023;31.12.2024;31.12.2025;31.12.2026;31.12.2027;31.12.2028;31.12.2029;31.12.2030;31.12.2031;31.12.2032;31.12.2033;31.12.2034;31.12.2035;31.12.2036;31.12.2037;31.12.2038;31.12.2039;31.12.2040;31.12.2041;31.12.2042;31.12.2043;31.12.2044;31.12.2045;31.12.2046;31.12.2047;31.12.2048;31.12.2049;31.12.2050;31.12.2051;31.12.2052;31.12.2053;31.12.2054;31.12.2055;31.12.2056;31.12.2057;31.12.2058;31.12.2059;31.12.2060
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);83203;83365;83494;83591;83654;83681;83672;83627;83546;83429;83276;83088;82890;82682;82466;82242;82011;81771;81522;81265;80998;80722;80437;80143;79840;79531;79215;78893;78568;78240;77909;77578;77246;76915;76585;76258;75934;75614;75299;74990;74688;74393
BEV-VARIANTE-02;Geburten, LE und WS moderat (G2L2W2);83203;83365;83495;83591;83654;83682;83674;83631;83575;83508;83429;83341;83245;83141;83031;82916;82795;82668;82534;82394;82247;82091;81928;81758;81580;81396;81206;81012;80813;80611;80406;80200;79992;79785;79578;79372;79168;78967;78771;78579;78393;78213
BEV-VARIANTE-03;Geburten und LE moderat, WS hoch (G2L2W3);83218;83409;83584;83742;83881;84002;84103;84186;84252;84300;84331;84347;84356;84360;84360;84355;84347;84335;84319;84297;84271;84238;84199;84154;84104;84048;83988;83924;83856;83786;83715;83642;83569;83495;83423;83353;83285;83220;83160;83104;83055;83012
BEV-VARIANTE-04;Relativ alte Bevölkerung (G1L3W1);83202;83364;83495;83593;83655;83683;83673;83625;83541;83420;83263;83071;82869;82657;82436;82207;81970;81724;81469;81206;80933;80652;80362;80063;79757;79443;79124;78799;78469;78135;77798;77458;77116;76772;76426;76080;75733;75388;75043;74701;74362;74027
BEV-VARIANTE-05;Relativ junge Bevölkerung (G3L1W3);83219;83411;83589;83749;83891;84015;84121;84210;84283;84342;84388;84422;84453;84482;84511;84539;84565;84589;84609;84625;84635;84639;84637;84628;84614;84594;84571;84545;84517;84489;84461;84434;84411;84390;84375;84366;84363;84368;84383;84407;84442;84487
BEV-VARIANTE-06;Niedrige Geburtenhäufigkeit (G1L2W2);83200;83356;83477;83561;83607;83615;83584;83514;83428;83329;83216;83092;82958;82815;82664;82506;82340;82167;81985;81796;81598;81391;81177;80953;80723;80485;80241;79992;79738;79480;79218;78954;78688;78421;78152;77884;77617;77351;77087;76827;76572;76321
BEV-VARIANTE-07;Hohe Geburtenhäufigkeit (G3L2W2);83206;83375;83518;83631;83712;83763;83782;83770;83750;83723;83690;83652;83612;83569;83525;83479;83430;83377;83321;83259;83190;83115;83033;82944;82849;82747;82641;82532;82419;82305;82190;82075;81960;81847;81737;81630;81528;81431;81341;81259;81185;81119
BEV-VARIANTE-08;Geringe Steigung der Lebenserwartung (G2L1W2);83201;83356;83476;83559;83605;83612;83582;83514;83431;83334;83224;83103;82972;82833;82687;82533;82372;82205;82029;81845;81653;81451;81240;81021;80793;80559;80318;80072;79822;79569;79315;79059;78804;78550;78299;78050;77806;77567;77335;77109;76890;76679
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);83206;83373;83513;83623;83702;83750;83764;83746;83717;83678;83630;83573;83510;83441;83366;83287;83204;83116;83022;82924;82819;82708;82590;82466;82335;82199;82058;81913;81763;81610;81453;81294;81134;80971;80808;80644;80481;80318;80158;80000;79846;79696
