parameter;2020;2030;2040;2050
restoration_rate;0.01;0.02;0.02;0.02
restoration_share_amb;0.1;0.5;0.8;0.9
new_building_rate;0.007;0.005;0.003;0.001
new_building_share_sfh;0.6;0.3;0.2;0.1
new_building_share_th;0.1;0.2;0.2;0.2
new_building_share_ah;0.2;0.5;0.6;0.7
demolition_rate;0.005;0.005;0.005;0.005
living_space_pc;46;41;38;33
share_restoration_sfh;0.3;0.3;0.3;0.3
share_restoration_th;0.3;0.3;0.3;0.3
share_restoration_ah;0.4;0.4;0.4;0.4
share_demolition_sfh;0.3;0.3;0.3;0.3
share_demolition_ah;0.3;0.3;0.3;0.3
share_demolition_sfh;0.4;0.4;0.4;0.4
