Variants of population;31.12.2019;31.12.2020;31.12.2021;31.12.2022;31.12.2023;31.12.2024;31.12.2025;31.12.2026;31.12.2027;31.12.2028;31.12.2029;31.12.2030;31.12.2031;31.12.2032;31.12.2033;31.12.2034;31.12.2035;31.12.2036;31.12.2037;31.12.2038;31.12.2039;31.12.2040;31.12.2041;31.12.2042;31.12.2043;31.12.2044;31.12.2045;31.12.2046;31.12.2047;31.12.2048;31.12.2049;31.12.2050;31.12.2051;31.12.2052;31.12.2053;31.12.2054;31.12.2055;31.12.2056;31.12.2057;31.12.2058;31.12.2059;31.12.2060
BEV-VARIANTE-01;83.203;83.365;83.494;83.591;83.654;83.681;83.672;83.627;83.546;83.429;83.276;83.088;82.890;82.682;82.466;82.242;82.011;81.771;81.522;81.265;80.998;80.722;80.437;80.143;79.840;79.531;79.215;78.893;78.568;78.240;77.909;77.578;77.246;76.915;76.585;76.258;75.934;75.614;75.299;74.990;74.688;74.393
BEV-VARIANTE-02;83.203;83.365;83.495;83.591;83.654;83.682;83.674;83.631;83.575;83.508;83.429;83.341;83.245;83.141;83.031;82.916;82.795;82.668;82.534;82.394;82.247;82.091;81.928;81.758;81.580;81.396;81.206;81.012;80.813;80.611;80.406;80.200;79.992;79.785;79.578;79.372;79.168;78.967;78.771;78.579;78.393;78.213
BEV-VARIANTE-03;83.218;83.409;83.584;83.742;83.881;84.002;84.103;84.186;84.252;84.300;84.331;84.347;84.356;84.360;84.360;84.355;84.347;84.335;84.319;84.297;84.271;84.238;84.199;84.154;84.104;84.048;83.988;83.924;83.856;83.786;83.715;83.642;83.569;83.495;83.423;83.353;83.285;83.220;83.160;83.104;83.055;83.012
BEV-VARIANTE-04;83.202;83.364;83.495;83.593;83.655;83.683;83.673;83.625;83.541;83.420;83.263;83.071;82.869;82.657;82.436;82.207;81.970;81.724;81.469;81.206;80.933;80.652;80.362;80.063;79.757;79.443;79.124;78.799;78.469;78.135;77.798;77.458;77.116;76.772;76.426;76.080;75.733;75.388;75.043;74.701;74.362;74.027
BEV-VARIANTE-05;83.219;83.411;83.589;83.749;83.891;84.015;84.121;84.210;84.283;84.342;84.388;84.422;84.453;84.482;84.511;84.539;84.565;84.589;84.609;84.625;84.635;84.639;84.637;84.628;84.614;84.594;84.571;84.545;84.517;84.489;84.461;84.434;84.411;84.390;84.375;84.366;84.363;84.368;84.383;84.407;84.442;84.487
BEV-VARIANTE-06;83.200;83.356;83.477;83.561;83.607;83.615;83.584;83.514;83.428;83.329;83.216;83.092;82.958;82.815;82.664;82.506;82.340;82.167;81.985;81.796;81.598;81.391;81.177;80.953;80.723;80.485;80.241;79.992;79.738;79.480;79.218;78.954;78.688;78.421;78.152;77.884;77.617;77.351;77.087;76.827;76.572;76.321
BEV-VARIANTE-07;83.206;83.375;83.518;83.631;83.712;83.763;83.782;83.770;83.750;83.723;83.690;83.652;83.612;83.569;83.525;83.479;83.430;83.377;83.321;83.259;83.190;83.115;83.033;82.944;82.849;82.747;82.641;82.532;82.419;82.305;82.190;82.075;81.960;81.847;81.737;81.630;81.528;81.431;81.341;81.259;81.185;81.119
BEV-VARIANTE-08;83.201;83.356;83.476;83.559;83.605;83.612;83.582;83.514;83.431;83.334;83.224;83.103;82.972;82.833;82.687;82.533;82.372;82.205;82.029;81.845;81.653;81.451;81.240;81.021;80.793;80.559;80.318;80.072;79.822;79.569;79.315;79.059;78.804;78.550;78.299;78.050;77.806;77.567;77.335;77.109;76.890;76.679
BEV-VARIANTE-09;83.206;83.373;83.513;83.623;83.702;83.750;83.764;83.746;83.717;83.678;83.630;83.573;83.510;83.441;83.366;83.287;83.204;83.116;83.022;82.924;82.819;82.708;82.590;82.466;82.335;82.199;82.058;81.913;81.763;81.610;81.453;81.294;81.134;80.971;80.808;80.644;80.481;80.318;80.158;80.000;79.846;79.696
BEV-VARIANTE-10;83.198;83.347;83.458;83.528;83.558;83.545;83.491;83.393;83.255;83.076;82.857;82.601;82.332;82.050;81.757;81.453;81.139;80.814;80.477;80.129;79.769;79.397;79.014;78.621;78.218;77.806;77.388;76.963;76.534;76.102;75.668;75.233;74.798;74.364;73.932;73.503;73.078;72.659;72.245;71.838;71.438;71.045
BEV-VARIANTE-11;83.223;83.428;83.626;83.813;83.989;84.152;84.303;84.442;84.569;84.686;84.794;84.892;84.991;85.090;85.192;85.294;85.398;85.501;85.604;85.705;85.803;85.898;85.989;86.076;86.159;86.239;86.315;86.390;86.463;86.535;86.606;86.678;86.749;86.822;86.896;86.972;87.052;87.135;87.224;87.319;87.420;87.530
BEV-VARIANTE-12;83.200;83.356;83.476;83.561;83.607;83.615;83.582;83.511;83.399;83.250;83.063;82.839;82.604;82.358;82.102;81.836;81.561;81.276;80.982;80.677;80.362;80.037;79.701;79.356;79.003;78.642;78.274;77.900;77.522;77.140;76.755;76.368;75.980;75.591;75.203;74.815;74.430;74.047;73.667;73.293;72.923;72.560
BEV-VARIANTE-13;83.201;83.356;83.476;83.559;83.604;83.612;83.581;83.510;83.402;83.255;83.071;82.850;82.617;82.374;82.121;81.859;81.588;81.308;81.017;80.716;80.405;80.082;79.749;79.406;79.054;78.694;78.328;77.956;77.580;77.201;76.821;76.441;76.062;75.686;75.313;74.944;74.580;74.224;73.874;73.532;73.199;72.875
BEV-VARIANTE-14;83.206;83.373;83.513;83.623;83.702;83.749;83.763;83.742;83.688;83.599;83.477;83.320;83.155;82.982;82.801;82.614;82.420;82.218;82.010;81.794;81.570;81.338;81.098;80.850;80.595;80.333;80.065;79.793;79.516;79.236;78.954;78.669;78.383;78.097;77.810;77.524;77.239;76.956;76.676;76.400;76.128;75.862
BEV-VARIANTE-15;83.198;83.347;83.458;83.529;83.558;83.546;83.492;83.397;83.284;83.154;83.010;82.854;82.685;82.507;82.319;82.123;81.918;81.704;81.481;81.248;81.005;80.752;80.489;80.217;79.937;79.649;79.354;79.053;78.748;78.439;78.128;77.815;77.501;77.188;76.875;76.565;76.257;75.953;75.653;75.359;75.071;74.790
BEV-VARIANTE-16;83.202;83.364;83.495;83.593;83.656;83.683;83.674;83.629;83.570;83.499;83.416;83.324;83.223;83.114;82.999;82.877;82.749;82.614;82.473;82.325;82.170;82.007;81.837;81.661;81.477;81.288;81.092;80.892;80.687;80.478;80.265;80.048;79.828;79.606;79.381;79.155;78.928;78.700;78.472;78.246;78.022;77.802
BEV-VARIANTE-17;83.204;83.367;83.499;83.598;83.663;83.694;83.690;83.653;83.605;83.549;83.485;83.414;83.339;83.261;83.180;83.095;83.007;82.914;82.815;82.709;82.596;82.474;82.344;82.206;82.060;81.908;81.751;81.590;81.427;81.262;81.096;80.932;80.769;80.610;80.455;80.306;80.163;80.028;79.901;79.784;79.677;79.581
BEV-VARIANTE-18;83.208;83.384;83.536;83.662;83.761;83.831;83.873;83.885;83.891;83.893;83.891;83.885;83.877;83.869;83.860;83.850;83.839;83.826;83.809;83.789;83.763;83.732;83.696;83.653;83.605;83.552;83.494;83.434;83.371;83.305;83.239;83.171;83.103;83.036;82.969;82.905;82.843;82.784;82.731;82.682;82.640;82.606
BEV-VARIANTE-19;83.216;83.401;83.566;83.710;83.832;83.932;84.011;84.069;84.107;84.125;84.126;84.109;84.084;84.052;84.015;83.972;83.925;83.872;83.813;83.748;83.677;83.597;83.511;83.417;83.316;83.210;83.098;82.983;82.864;82.743;82.621;82.499;82.378;82.258;82.141;82.027;81.918;81.814;81.717;81.626;81.543;81.468
